# 52 TUs analysed, manual overrides: /home/aren/Nextcloud/Clients/Internal/CCR_Electronics/DiveCANHeadRev2/Firmware/scripts/wcs_manual.msu
Translation Unit                                                        Function Name                                     Stack  Unresolved Dependencies
./Firmware/CMakeFiles/app.dir/src/ppo2_autotune_math.c                  autotune_cost                             unbounded:176  (__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/src/tank_pressure.c                       tank_pressure_thread                      unbounded:176  (__stack_chk_fail ,sys_clock_cycle_get_32)
./Firmware/CMakeFiles/app.dir/src/watchdog_feeder.c                     watchdog_feeder_thread                    unbounded:176  (__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/src/divecan/uds/uds_ota.c                 ota_downloading_run.part.0                unbounded:176  (__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/src/divecan/uds/uds_ota.c                 reject_sequence_error                     unbounded:176  (__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/src/divecan/uds/uds.c                     readSerialNumberDID                       unbounded:176  (__stack_chk_fail ,z_impl_hwinfo_get_device_id)
./Firmware/CMakeFiles/app.dir/src/divecan/uds/uds.c                     writeLogCanVerboseDID.part.0              unbounded:176  (__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/src/divecan/uds/uds.c                     writeLogVerbosityDID.part.0               unbounded:176  (__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/src/divecan/uds/uds_settings.c            UDS_SetSettingValue                       unbounded:168  (__aeabi_fcmpun ,__aeabi_ul2f ,__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/src/divecan/uds/uds_log_push.c            UDS_LogPush_Poll                          unbounded:168  (__stack_chk_fail)
#MANUAL                                                                 __snprintf_chk                                      168  
./Firmware/CMakeFiles/app.dir/src/poseidon_accessories.c                poseidon_current_provider                 unbounded:168  (z_spin_lock_set_owner ,z_spin_lock_valid ,z_spin_unlock_valid)
./Firmware/CMakeFiles/app.dir/src/flash_log/flash_log.c                 fl_write_entry_to_fcb.isra                unbounded:168  (__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/src/divecan/uds/uds.c                     writeHistogramClearDID.part.0             unbounded:164  (__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/src/poseidon_accessories.c                poseidon_gauge_status                     unbounded:160  (z_spin_lock_set_owner ,z_spin_lock_valid ,z_spin_unlock_valid)
./Firmware/CMakeFiles/app.dir/src/heartbeat.c                           heartbeat_check_all_alive                           160  
./Firmware/CMakeFiles/app.dir/src/runtime_settings.c                    runtime_settings_save                     unbounded:160  (__aeabi_fcmpun ,__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/src/divecan/divecan_send.c                divecan_send                              unbounded:160  (__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/src/divecan/divecan_send.c                divecan_send_blocking                     unbounded:160  (__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/src/divecan/uds/uds_settings.c            UDS_GetSettingValue                       unbounded:160  (__stack_chk_fail ,lroundf)
./Firmware/CMakeFiles/app.dir/src/divecan/uds/uds.c                     UDS_SendNegativeResponse                  unbounded:160  (__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/src/divecan/uds/uds.c                     UDS_SendResponse                          unbounded:160  (__stack_chk_fail)
#MANUAL                                                                 snprintf                                            160  
#MANUAL                                                                 __vsprintf_chk                                      160  
#MANUAL                                                                 sprintf                                             160  
#MANUAL                                                                 printf                                              160  
./Firmware/CMakeFiles/app.dir/src/flash_log/flash_log_reader.c          fl_index_claim                            unbounded:160  (z_impl_k_mutex_lock ,z_impl_k_mutex_unlock)
./Firmware/CMakeFiles/app.dir/src/calibration.c                         cal_failed_entry                          unbounded:156  (__stack_chk_fail ,smf_set_terminate)
./Firmware/CMakeFiles/app.dir/src/power_management.c                    shutdown_thread_fn                        unbounded:156  (HAL_PWREx_DisableInternalWakeUpLine ,HAL_PWREx_EnableGPIOPullDown ,HAL_PWREx_EnableGPIOPullUp ,HAL_PWREx_EnablePullUpPullDownConfig ,HAL_PWREx_EnterSHUTDOWNMode ,HAL_PWR_EnableWakeUpPin ,__stack_chk_fail ,pm_device_action_run ,regulator_disable ,sys_clock_cycle_get_32 ,z_impl_k_mutex_lock ,z_impl_k_mutex_unlock ,zbus_sub_wait_msg)
./Firmware/CMakeFiles/app.dir/src/oxygen_cell_math.c                    analog_cal_coefficient                    unbounded:152  (__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/src/oxygen_cell_math.c                    diveo2_cal_coefficient                    unbounded:152  (__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/src/poseidon_accessories.c                poseidon_gauge_voltage_byte               unbounded:152  (z_spin_lock_set_owner ,z_spin_lock_valid ,z_spin_unlock_valid)
./Firmware/CMakeFiles/app.dir/src/divecan/isotp.c                       ISOTP_Send                                unbounded:152  (__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/drivers/ads1x1x/adc_ads1x1x_local.c       ads1x1x_channel_setup                               152  
./Firmware/CMakeFiles/app.dir/src/ppo2_autotune.c                       publish_setpoint                          unbounded:152  (__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/src/calibration.c                         cal_done_entry                            unbounded:152  (__stack_chk_fail ,smf_set_terminate)
./Firmware/CMakeFiles/app.dir/src/ppo2_control.c                        publish_solenoid_status                   unbounded:152  (__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/src/poseidon_accessories.c                record_current_counts                     unbounded:152  (z_spin_lock_set_owner ,z_spin_lock_valid ,z_spin_unlock_valid)
./Firmware/CMakeFiles/app.dir/drivers/solenoid/solenoid.c               solenoid_all_off                          unbounded:144  (__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/src/oxygen_cell_math.c                    cal_compute_target_ppo2                   unbounded:144  (__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/src/oxygen_cell_math.c                    o2s_cal_coefficient                       unbounded:144  (__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/src/oxygen_cell_diveo2.c                  diveo2_parse_error_code                   unbounded:144  (__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/src/oxygen_cell_diveo2.c                  diveo2_request_broadcast                  unbounded:144  (__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/src/errors.c                              k_sys_fatal_error_handler                 unbounded:144  (k_thread_name_get)
./Firmware/CMakeFiles/app.dir/src/maintenance_arena.c                   maint_arena_claim                         unbounded:144  (z_impl_k_mutex_lock ,z_impl_k_mutex_unlock)
./Firmware/CMakeFiles/app.dir/src/divecan/isotp_tx_queue.c              ISOTP_TxQueue_ProcessFC                   unbounded:144  (__stack_chk_fail)
#MANUAL                                                                 vsnprintf                                           144  
./Firmware/CMakeFiles/app.dir/src/firmware_confirm.c                    post_cells_run                            unbounded:144  (__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/src/firmware_confirm.c                    post_failed_solenoid_entry                unbounded:144  (__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/src/firmware_confirm.c                    post_failed_no_handset_entry              unbounded:144  (__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/src/firmware_confirm.c                    post_failed_no_ppo2_tx_entry              unbounded:144  (__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/src/firmware_confirm.c                    post_failed_consensus_entry               unbounded:144  (__stack_chk_fail)
